dataset,model,held_out,n_test,n_train,n_test_pos,n_test_neg,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
nurse,rf,F5,104,1616.0,104,0,0.6399999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.8557692307692307,0.8557692307692307,0.46113989637305697,0.0,0.0,0.0,1.0,0.8557692307692307,0.9222797927461139,
nurse,rf,POOLED,1720,,1342,378,,None,0.6447674418604651,0.4169899620719293,0.39816710466561944,0.016597510373443983,0.010582010582010581,0.012924071082390954,0.7471264367816092,0.823397913561848,0.783410138248848,0.2411941428334871
nurse,svm,15,74,1646.0,74,0,0.61,"{'clf__C': 1.0, 'clf__gamma': 0.05}",0.8918918918918919,0.8918918918918919,0.4714285714285714,0.0,0.0,0.0,1.0,0.8918918918918919,0.9428571428571428,
nurse,svm,6B,202,1518.0,202,0,0.5099999999999999,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.8366336633663366,0.8366336633663366,0.4555256064690027,0.0,0.0,0.0,1.0,0.8366336633663366,0.9110512129380054,
nurse,svm,7A,286,1434.0,286,0,0.7,"{'clf__C': 1.0, 'clf__gamma': 0.05}",0.9300699300699301,0.9300699300699301,0.48188405797101447,0.0,0.0,0.0,1.0,0.9300699300699301,0.9637681159420289,
nurse,svm,7E,54,1666.0,54,0,0.6,"{'clf__C': 4.0, 'clf__gamma': 'scale'}",0.8888888888888888,0.8888888888888888,0.47058823529411764,0.0,0.0,0.0,1.0,0.8888888888888888,0.9411764705882353,
nurse,svm,83,312,1408.0,208,104,0.5299999999999999,"{'clf__C': 4.0, 'clf__gamma': 'scale'}",0.657051282051282,0.5168269230769231,0.4710942822288059,0.43478260869565216,0.09615384615384616,0.15748031496062992,0.6747404844290658,0.9375,0.7847082494969819,0.5683709319526628
nurse,svm,8B,80,1640.0,32,48,0.6799999999999999,"{'clf__C': 1.0, 'clf__gamma': 0.05}",0.3,0.375,0.23076923076923078,0.0,0.0,0.0,0.3333333333333333,0.75,0.46153846153846156,0.203125
nurse,svm,94,98,1622.0,0,98,0.6,"{'clf__C': 4.0, 'clf__gamma': 0.05}",0.10204081632653061,0.10204081632653061,0.09259259259259259,1.0,0.10204081632653061,0.18518518518518517,0.0,0.0,0.0,
nurse,svm,BG,66,1654.0,66,0,0.36999999999999994,"{'clf__C': 1.0, 'clf__gamma': 0.05}",1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,
nurse,svm,E4,384,1336.0,256,128,0.7,"{'clf__C': 4.0, 'clf__gamma': 'scale'}",0.4609375,0.34765625,0.31963263175013484,0.012345679012345678,0.0078125,0.009569377990430622,0.5808580858085809,0.6875,0.629695885509839,0.165679931640625
nurse,svm,EG,60,1660.0,60,0,0.3499999999999999,"{'clf__C': 1.0, 'clf__gamma': 0.05}",0.8666666666666667,0.8666666666666667,0.4642857142857143,0.0,0.0,0.0,1.0,0.8666666666666667,0.9285714285714286,
nurse,svm,F5,104,1616.0,104,0,0.4699999999999999,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.8461538461538461,0.8461538461538461,0.4583333333333333,0.0,0.0,0.0,1.0,0.8461538461538461,0.9166666666666666,
